(.venv) marquiswong@whale mod4-marquisywong % python project/run_mnist_multiclass.py
Epoch 4 loss 1.6467884547051053 valid acc 15/16
Epoch 4 loss 1.379701657996043 valid acc 15/16
Epoch 4 loss 0.5273547447024955 valid acc 15/16
Epoch 4 loss 1.5264747751382943 valid acc 15/16
Epoch 4 loss 1.3827042576230546 valid acc 15/16
Epoch 4 loss 0.4628759942373143 valid acc 15/16
Epoch 4 loss 1.0985295684753125 valid acc 15/16
Epoch 4 loss 3.8492207050026996 valid acc 16/16
Epoch 4 loss 1.429504961529667 valid acc 15/16
Epoch 4 loss 0.9994588846783323 valid acc 15/16
Epoch 4 loss 0.9427463783251436 valid acc 15/16
Epoch 4 loss 1.386038785672253 valid acc 15/16
Epoch 4 loss 0.7249507233273641 valid acc 15/16
Epoch 4 loss 0.672091858825306 valid acc 16/16
Epoch 4 loss 1.0827590109616714 valid acc 16/16
Epoch 4 loss 0.6914513340751822 valid acc 16/16
Epoch 4 loss 0.4780283449438706 valid acc 16/16
Epoch 4 loss 0.7687314031132586 valid acc 16/16
Epoch 4 loss 0.26718896192607133 valid acc 16/16
Epoch 4 loss 1.0318887874139047 valid acc 16/16
Epoch 4 loss 1.626943433345454 valid acc 16/16
Epoch 4 loss 1.2994768536530028 valid acc 16/16
Epoch 4 loss 0.5606956459516247 valid acc 16/16
Epoch 4 loss 0.6047884784806025 valid acc 16/16
Epoch 4 loss 1.1455135213039145 valid acc 16/16
Epoch 4 loss 1.346127565431076 valid acc 15/16
Epoch 4 loss 0.48462360821783823 valid acc 16/16
Epoch 4 loss 1.0002860920911258 valid acc 15/16
Epoch 4 loss 0.529618947392567 valid acc 15/16
Epoch 4 loss 1.2053478349076405 valid acc 15/16
Epoch 4 loss 1.1751761466992412 valid acc 15/16
Epoch 4 loss 1.0099883990997967 valid acc 15/16
Epoch 4 loss 1.1159247270364188 valid acc 16/16
Epoch 4 loss 0.6142087519268964 valid acc 15/16
Epoch 4 loss 0.87934323028209 valid acc 15/16
Epoch 4 loss 1.691721517593825 valid acc 14/16
Epoch 5 loss 0.05692477900236681 valid acc 15/16
Epoch 5 loss 1.1676557142164827 valid acc 15/16
Epoch 5 loss 1.260245732615393 valid acc 15/16
Epoch 5 loss 0.6049001229723991 valid acc 14/16
Epoch 5 loss 0.4297601908072968 valid acc 15/16
Epoch 5 loss 1.548815998694689 valid acc 16/16
Epoch 5 loss 1.4991625699302924 valid acc 14/16
Epoch 5 loss 1.3890307752604165 valid acc 15/16
Epoch 5 loss 1.2305527921127117 valid acc 15/16
Epoch 5 loss 1.011636139418658 valid acc 15/16
Epoch 5 loss 1.1733954058114935 valid acc 15/16
Epoch 5 loss 1.9963480562878444 valid acc 15/16
Epoch 5 loss 1.6670095887097647 valid acc 15/16
Epoch 5 loss 0.9428958782470935 valid acc 15/16
Epoch 5 loss 1.5503342709078207 valid acc 15/16
Epoch 5 loss 0.46902995737661757 valid acc 15/16
Epoch 5 loss 2.2623607196023388 valid acc 15/16
Epoch 5 loss 1.3203304971775531 valid acc 15/16
Epoch 5 loss 1.2946879126226223 valid acc 15/16
Epoch 5 loss 0.7517130335965483 valid acc 15/16
Epoch 5 loss 0.8402496310281498 valid acc 15/16
Epoch 5 loss 0.3685778293755144 valid acc 15/16
Epoch 5 loss 0.3148062868971236 valid acc 15/16
Epoch 5 loss 1.4646245528727935 valid acc 15/16
Epoch 5 loss 0.6616662649136353 valid acc 15/16
Epoch 5 loss 0.4555403628933579 valid acc 15/16
Epoch 5 loss 0.755976229858315 valid acc 15/16
Epoch 5 loss 1.4491912766949326 valid acc 15/16
Epoch 5 loss 1.1191621117058392 valid acc 15/16
Epoch 5 loss 0.4827578902536088 valid acc 15/16
Epoch 5 loss 0.4204998831908057 valid acc 15/16
Epoch 5 loss 1.2744206506210862 valid acc 14/16
Epoch 5 loss 0.6586809148897129 valid acc 14/16
Epoch 5 loss 1.3465719911494152 valid acc 15/16
Epoch 5 loss 1.2604709877170865 valid acc 15/16
Epoch 5 loss 1.5895526197943168 valid acc 15/16
Epoch 5 loss 0.9882464545403693 valid acc 16/16
Epoch 5 loss 1.0168443720823597 valid acc 15/16
Epoch 5 loss 1.5909245819648314 valid acc 16/16
Epoch 5 loss 0.47207703958952507 valid acc 16/16
Epoch 5 loss 0.47005731016496943 valid acc 16/16
Epoch 5 loss 1.2705203225123198 valid acc 16/16
Epoch 5 loss 1.0410546591022383 valid acc 16/16
Epoch 5 loss 0.6485442082715089 valid acc 16/16
Epoch 5 loss 1.1670121976878487 valid acc 16/16
Epoch 5 loss 0.4836883371275208 valid acc 16/16
Epoch 5 loss 0.6439771784401601 valid acc 16/16
Epoch 5 loss 1.1096510832890858 valid acc 15/16
Epoch 5 loss 0.8146124548391702 valid acc 15/16
Epoch 5 loss 0.36662460642983913 valid acc 16/16
